id,content,source,scraped_at
58,"Novixpert Tech Inc is hiring Machine Learning Engineer!Position: Machine Learning EngineerQualifications: Bachelor’s DegreeSalary: INR 3 - 4 LPAExperience: 0 - 3 yearsLocation: Jaipur, India📌Apply Link:https://cuvette.tech/app/public/job/690ddd7c59e914666309ef72?referralCode=KJ12IG👉WhatsApp Channel:https://whatsapp.com/channel/0029Vaog2gOLNSa9xawdms1m👉Telegram Link:https://t.me/Offcampusjobupdateslive😃👉Share this Job info to all your Friends and Groups✅",https://t.me/s/offcampusjobupdateslive,2025-11-18 04:54:21
59,"Free HTML, CSS & JavaScript Training + Certificate!💻🚀Learn how to build websites using HTML, CSS, and JavaScript!🌐Perfect for beginners– No coding experience needed!✅Only500 seatsleft!😳Register now (100% Free)👇https://forms.gle/b7PpZgjCqgSrKFEy5",https://t.me/s/offcampusjobupdateslive,2025-11-18 04:54:21
60,"Outbox Labs is hiring for Backend Developer! (Hybrid)Position: Backend DeveloperQualifications: Bachelor’s DegreeSalary: INR 10 - 12 LPAExperience: FreshersLocation: Bengaluru, India (Hybrid)📌Apply Link:https://go.acciojob.com/NwFeQM👉WhatsApp Channel:https://whatsapp.com/channel/0029Vaog2gOLNSa9xawdms1m👉Telegram Link:https://t.me/Offcampusjobupdateslive😃👉Share this Job info to all your Friends and Groups✅",https://t.me/s/offcampusjobupdateslive,2025-11-18 04:54:21
61,Altiosoft is hiring for Network Engineer Internship!Position: Network Engineer InternQualifications: Bachelor’s DegreeSalary: INR 12k - 15k / monthExperience: FreshersLocation: Work from home📌Apply Link:https://cuvette.tech/app/public/internship/6910c5b159e91466631f1bb1?referralCode=KJ12IG👉WhatsApp Channel:https://whatsapp.com/channel/0029Vaog2gOLNSa9xawdms1m👉Telegram Link:https://t.me/Offcampusjobupdateslive😃👉Share this Job info to all your Friends and Groups✅,https://t.me/s/offcampusjobupdateslive,2025-11-18 04:54:21
62,Optionbox is hiring for Machine Learning Engineer!Position: Machine Learning EngineerQualifications: Bachelor’s DegreeSalary: INR 3 - 4 LPAExperience: 0-3 yearsLocation: Work from home📌Apply Link:https://cuvette.tech/app/public/job/68f1c8a859e9146663f6ca11?referralCode=KJ12IG👉WhatsApp Channel:https://whatsapp.com/channel/0029Vaog2gOLNSa9xawdms1m👉Telegram Link:https://t.me/Offcampusjobupdateslive😃👉Share this Job info to all your Friends and Groups✅,https://t.me/s/offcampusjobupdateslive,2025-11-18 04:54:21
63,"Learn Free Frontend Development in 30 Days🚀Day 1-5: UI/UX basics (Figma).Day 6-14: Master HTML & CSS.Day 15-21: Dive into JavaScript.Day 21-25: Design-to-code.Day 26-30: Build projects.Free Frontend UI/UX Masterclass with Certification, Limited 87 seats available! Register now👇https://link.guvi.in/coderslearning02525",https://t.me/s/offcampusjobupdateslive,2025-11-18 04:54:21
64,Java Backend Developer Walk-In Hiring Drive Alert across multiple locations!Position: Java Backend DeveloperQualifications: Bachelor’s DegreeSalary: INR 9 LPA - 14 LPAExperience: FreshersLocation: Across India📌Apply Link:https://go.acciojob.com/zsV6xk👉WhatsApp Channel:https://whatsapp.com/channel/0029Vaog2gOLNSa9xawdms1m👉Telegram Link:https://t.me/Offcampusjobupdateslive😃👉Share this Job info to all your Friends and Groups✅,https://t.me/s/offcampusjobupdateslive,2025-11-18 04:54:21
65,"New Jobs Alert for Students and Freshers!💻🚀VegaStack is hiring for Full-Stack Developer!Position: Full-Stack Developer InternQualifications: Bachelor’s DegreeSalary: INR 4 - 5 LPAExperience: 0-3 yearsLocation: Bengaluru, India📌Apply Link:https://cuvette.tech/app/public/job/691467b259e91466633be879?referralCode=KJ12IGWhitecarrot is hiring for Full-Stack Developer!Position: Full-Stack DeveloperQualifications: Bachelor’s DegreeSalary: INR 6 - 8 LPAExperience: 0-3 yearsLocation: Work from home📌Apply Link:https://cuvette.tech/app/public/job/69143a8359e91466633a630d?referralCode=KJ12IGKuvi Networks is hiring for Full-Stack Developer!Position: Full-Stack DeveloperQualifications: Bachelor’s DegreeSalary: INR 5.5 - 6 LPAExperience: 0-3 yearsLocation: Bengaluru, India📌Apply Link:https://cuvette.tech/app/public/job/6914127a59e914666338a6cc?referralCode=KJ12IGNovixpert Tech Inc is hiring Machine Learning Engineer!Position: Machine Learning EngineerQualifications: Bachelor’s DegreeSalary: INR 3 - 4 LPAExperience: 0 - 3 yearsLocation: Jaipur, India📌Apply Link:https://cuvette.tech/app/public/job/690ddd7c59e914666309ef72?referralCode=KJ12IGTrixno is hiring for Backend Developer!Position: Backend DeveloperQualifications: Bachelor’s DegreeSalary: INR 4 - 5 LPAExperience: 0-3 yearsLocation: Work from home📌Apply Link:https://cuvette.tech/app/public/job/6905deae59e9146663c53258?referralCode=KJ12IGOptionboxis hiring for Machine Learning Engineer!Position: Machine Learning EngineerQualifications: Bachelor’s DegreeSalary: INR 3 - 4 LPAExperience: 0-3 yearsLocation: Work from home📌Apply Link:https://cuvette.tech/app/public/job/68f1c8a859e9146663f6ca11?referralCode=KJ12IGGrowthGearis hiring for Data Analyst!Position: Data AnalystQualifications: Bachelor’s DegreeSalary: INR 3 - 4 LPAExperience: 0-3 yearsLocation: Delhi, India📌Apply Link:https://cuvette.tech/app/public/job/68f1414859e9146663efa37c?referralCode=KJ12IG👉WhatsApp Channel:https://whatsapp.com/channel/0029Vaog2gOLNSa9xawdms1m👉Telegram Link:https://t.me/Offcampusjobupdateslive😃👉Share this Jobs info to all your Friends and Groups✅",https://t.me/s/offcampusjobupdateslive,2025-11-18 04:54:21
66,Full-Stack Development Roadmap🚀📍Day 1–20:HTML & CSS📍Day 21–40:JavaScript (Basics → Advanced)📍Day 41–50:Bootstrap + Responsive Design📍Day 51–80:React JS📍Day 81–110:Node.js + Express📍Day 111–130:MongoDB + APIs📍Day 131–150:Full-Stack Projects + CertificationCourse + Certificate + Projects👇https://go.acciojob.com/MNcGQh,https://t.me/s/offcampusjobupdateslive,2025-11-18 04:54:21
67,Buzzli is hiring for Frontend Developer Internship!Position: Frontend Developer InternQualifications: Bachelor’s DegreeSalary: INR 10k - 15k / monthExperience: FreshersLocation: Work from home📌Apply Link:https://cuvette.tech/app/public/internship/6915b64c59e914666349931f?referralCode=KJ12IG👉WhatsApp Channel:https://whatsapp.com/channel/0029Vaog2gOLNSa9xawdms1m👉Telegram Link:https://t.me/Offcampusjobupdateslive😃👉Share this Job info to all your Friends and Groups✅,https://t.me/s/offcampusjobupdateslive,2025-11-18 04:54:21
